ID ,TX,RX,Freq (MHz),TX Lat (D.M),TX Long (D.M),RX Lat (D.M),RX Long (D.M),Distance (km),SSN,Year,Month
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,40,84,8
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,34,84,9
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,29,84,10
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,24,84,11
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,18,85,3
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,18,85,4
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,17,85,5
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,16,85,6
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,12,85,10
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,11,85,11
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,164,80,1
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,150,80,10
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,148,80,11
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,164,80,1
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,159,80,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,153,80,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,150,80,10
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,140,81,1
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,143,81,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,140,81,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,142,81,10
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,137,82,1
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,124,82,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,115,82,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,96,82,10
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,93,83,1
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,82,83,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,66,83,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,68,83,10
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,60,84,1
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,50,84,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,44,84,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,29,84,10
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,164,80,1
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,159,80,4
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,153,80,7
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,150,80,10
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,140,81,1
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,143,81,4
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,140,81,7
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,142,81,10
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,137,82,1
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,124,82,4
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,115,82,7
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,96,82,10
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,93,83,1
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,82,83,4
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,66,83,7
4,SANWA,AKITA,5.0,36.11N,139.51E,39.44N,140.08E,396,68,83,10
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,106,70,1
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,107,70,4
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,103,70,7
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,93,70,10
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,79,71,1
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,70,71,4
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,65,71,7
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,66,71,10
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,71,72,1
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,73,72,4
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,68,72,7
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,61,72,10
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,51,73,1
5,KOGANEI,AKITA,2.5,35.41N,139.31E,39.44N,140.08E,454,43,73,4
