month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
7, 16, 0.0100, 40.0157, -105.2793, 145.7320, 147.2108, 150.1683, 153.1257, 156.0832, 159.0407, 161.9982, 164.9557, 167.9131, 170.8706, 173.8281
7, 16, 0.0150, 40.0157, -105.2793, 132.0382, 134.0195, 137.9821, 141.9446, 145.9072, 149.8698, 153.8324, 157.7950, 161.7576, 165.7202, 169.6828
7, 16, 0.0200, 40.0157, -105.2793, 122.0880, 124.4231, 129.0933, 133.7636, 138.4338, 143.1040, 147.7742, 152.4444, 157.1146, 161.7849, 166.4551
7, 16, 0.0250, 40.0157, -105.2793, 114.2755, 116.8810, 122.0921, 127.3031, 132.5142, 137.7252, 142.9362, 148.1473, 153.3583, 158.5694, 163.7804
7, 16, 0.0300, 40.0157, -105.2793, 107.8525, 110.6750, 116.3202, 121.9653, 127.6104, 133.2556, 138.9007, 144.5458, 150.1910, 155.8361, 161.4813
7, 16, 0.0350, 40.0157, -105.2793, 102.4071, 105.4097, 111.4149, 117.4200, 123.4252, 129.4304, 135.4356, 141.4407, 147.4459, 153.4511, 159.4563
7, 16, 0.0400, 40.0157, -105.2793, 97.6878, 100.8433, 107.1542, 113.4651, 119.7760, 126.0870, 132.3979, 138.7088, 145.0197, 151.3306, 157.6416
7, 16, 0.0500, 40.0157, -105.2793, 89.8168, 93.2203, 100.0273, 106.8342, 113.6412, 120.4482, 127.2552, 134.0621, 140.8691, 147.6761, 154.4830
7, 16, 0.0600, 40.0157, -105.2793, 83.4206, 87.0188, 94.2151, 101.4114, 108.6077, 115.8040, 123.0003, 130.1966, 137.3929, 144.5892, 151.7855
7, 16, 0.0700, 40.0157, -105.2793, 78.0525, 81.8089, 89.3216, 96.8344, 104.3471, 111.8599, 119.3726, 126.8854, 134.3981, 141.9109, 149.4236
7, 16, 0.0800, 40.0157, -105.2793, 73.4418, 77.3300, 85.1065, 92.8830, 100.6595, 108.4359, 116.2124, 123.9889, 131.7654, 139.5418, 147.3183
7, 16, 0.0900, 40.0157, -105.2793, 69.4118, 73.4121, 81.4125, 89.4130, 97.4135, 105.4140, 113.4145, 121.4150, 129.4155, 137.4159, 145.4164
7, 16, 0.1000, 40.0157, -105.2793, 65.8409, 69.9377, 78.1313, 86.3249, 94.5186, 102.7122, 110.9058, 119.0994, 127.2930, 135.4866, 143.6802
7, 16, 0.1500, 40.0157, -105.2793, 52.4734, 56.9067, 65.7732, 74.6398, 83.5064, 92.3729, 101.2395, 110.1061, 118.9726, 127.8392, 136.7058
7, 16, 0.2000, 40.0157, -105.2793, 43.4434, 48.0779, 57.3469, 66.6160, 75.8850, 85.1541, 94.4231, 103.6922, 112.9612, 122.2303, 131.4993
7, 16, 0.2500, 40.0157, -105.2793, 36.7636, 41.5304, 51.0640, 60.5977, 70.1313, 79.6649, 89.1986, 98.7322, 108.2658, 117.7995, 127.3331
7, 16, 0.3000, 40.0157, -105.2793, 31.5507, 36.4090, 46.1255, 55.8420, 65.5586, 75.2751, 84.9916, 94.7082, 104.4247, 114.1412, 123.8578
7, 16, 0.3500, 40.0157, -105.2793, 27.3366, 32.2597, 42.1060, 51.9524, 61.7987, 71.6450, 81.4913, 91.3376, 101.1840, 111.0303, 120.8766
7, 16, 0.4000, 40.0157, -105.2793, 23.8441, 28.8137, 38.7530, 48.6923, 58.6315, 68.5708, 78.5101, 88.4494, 98.3886, 108.3279, 118.2672
7, 16, 0.5000, 40.0157, -105.2793, 18.3727, 23.3984, 33.4499, 43.5013, 53.5528, 63.6042, 73.6556, 83.7071, 93.7585, 103.8100, 113.8614
7, 16, 0.6000, 40.0157, -105.2793, 14.2836, 19.3334, 29.4330, 39.5326, 49.6322, 59.7319, 69.8315, 79.9311, 90.0307, 100.1304, 110.2300
7, 16, 0.7000, 40.0157, -105.2793, 11.1295, 16.1829, 26.2897, 36.3966, 46.5034, 56.6103, 66.7171, 76.8239, 86.9308, 97.0376, 107.1445
7, 16, 0.8000, 40.0157, -105.2793, 8.6476, 13.6906, 23.7766, 33.8625, 43.9485, 54.0345, 64.1204, 74.2064, 84.2924, 94.3783, 104.4643
7, 16, 0.9000, 40.0157, -105.2793, 6.6707, 11.6931, 21.7380, 31.7828, 41.8277, 51.8725, 61.9173, 71.9622, 82.0070, 92.0519, 102.0967
7, 16, 1.0000, 40.0157, -105.2793, 5.0859, 10.0802, 20.0687, 30.0573, 40.0459, 50.0344, 60.0230, 70.0115, 80.0001, 89.9886, 99.9772
7, 16, 1.5000, 40.0157, -105.2793, 0.8682, 5.6549, 15.2283, 24.8018, 34.3752, 43.9486, 53.5220, 63.0954, 72.6689, 82.2423, 91.8157
7, 16, 2.0000, 40.0157, -105.2793, 0.0425, 4.5674, 13.6173, 22.6672, 31.7171, 40.7670, 49.8169, 58.8669, 67.9168, 76.9667, 86.0166
7, 16, 2.5000, 40.0157, -105.2793, 0.8708, 5.1145, 13.6018, 22.0891, 30.5764, 39.0637, 47.5510, 56.0383, 64.5255, 73.0128, 81.5001
7, 16, 3.0000, 40.0157, -105.2793, 2.5834, 6.5415, 14.4577, 22.3739, 30.2901, 38.2063, 46.1225, 54.0387, 61.9549, 69.8711, 77.7873
7, 16, 3.5000, 40.0157, -105.2793, 4.7702, 8.4469, 15.8001, 23.1533, 30.5065, 37.8598, 45.2130, 52.5662, 59.9194, 67.2727, 74.6259
7, 16, 4.0000, 40.0157, -105.2793, 7.1886, 10.5928, 17.4011, 24.2095, 31.0179, 37.8262, 44.6346, 51.4430, 58.2514, 65.0597, 71.8681
7, 16, 5.0000, 40.0157, -105.2793, 12.1552, 15.0532, 20.8494, 26.6455, 32.4417, 38.2378, 44.0340, 49.8301, 55.6263, 61.4224, 67.2186
7, 16, 6.0000, 40.0157, -105.2793, 16.7648, 19.2188, 24.1266, 29.0344, 33.9422, 38.8500, 43.7579, 48.6657, 53.5735, 58.4813, 63.3891
7, 16, 7.0000, 40.0157, -105.2793, 20.6791, 22.7562, 26.9103, 31.0645, 35.2186, 39.3728, 43.5269, 47.6811, 51.8352, 55.9894, 60.1435
7, 16, 8.0000, 40.0157, -105.2793, 23.7380, 25.5066, 29.0436, 32.5806, 36.1176, 39.6547, 43.1917, 46.7287, 50.2658, 53.8028, 57.3398
7, 16, 9.0000, 40.0157, -105.2793, 25.8762, 27.4029, 30.4563, 33.5097, 36.5631, 39.6165, 42.6700, 45.7234, 48.7768, 51.8302, 54.8836
7, 16, 10.0000, 40.0157, -105.2793, 27.0819, 28.4306, 31.1280, 33.8254, 36.5228, 39.2201, 41.9175, 44.6149, 47.3123, 50.0097, 52.7071
7, 16, 15.0000, 40.0157, -105.2793, 20.3799, 21.6496, 24.1888, 26.7281, 29.2674, 31.8067, 34.3459, 36.8852, 39.4245, 41.9637, 44.5030
7, 16, 20.0000, 40.0157, -105.2793, -2.0258, 0.0919, 4.3273, 8.5627, 12.7981, 17.0335, 21.2689, 25.5043, 29.7397, 33.9751, 38.2105
7, 16, 25.0000, 40.0157, -105.2793, -31.9499, -28.6130, -21.9391, -15.2653, -8.5914, -1.9176, 4.7563, 11.4302, 18.1040, 24.7779, 31.4517
7, 16, 30.0000, 40.0157, -105.2793, -61.8252, -57.3874, -48.5118, -39.6363, -30.7607, -21.8852, -13.0096, -4.1340, 4.7415, 13.6171, 22.4926
