month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
7, 4, 0.0100, 40.0157, -105.2793, 148.2968, 149.3449, 151.4410, 153.5371, 155.6332, 157.7293, 159.8254, 161.9215, 164.0177, 166.1138, 168.2099
7, 4, 0.0150, 40.0157, -105.2793, 137.2867, 138.7706, 141.7384, 144.7063, 147.6741, 150.6419, 153.6098, 156.5776, 159.5454, 162.5133, 165.4811
7, 4, 0.0200, 40.0157, -105.2793, 128.9074, 130.7097, 134.3143, 137.9189, 141.5235, 145.1281, 148.7326, 152.3372, 155.9418, 159.5464, 163.1510
7, 4, 0.0250, 40.0157, -105.2793, 122.0890, 124.1422, 128.2485, 132.3548, 136.4612, 140.5675, 144.6738, 148.7802, 152.8865, 156.9928, 161.0992
7, 4, 0.0300, 40.0157, -105.2793, 116.3176, 118.5775, 123.0973, 127.6171, 132.1370, 136.6568, 141.1766, 145.6964, 150.2163, 154.7361, 159.2559
7, 4, 0.0350, 40.0157, -105.2793, 111.3029, 113.7383, 118.6093, 123.4802, 128.3511, 133.2221, 138.0930, 142.9639, 147.8349, 152.7058, 157.5767
7, 4, 0.0400, 40.0157, -105.2793, 106.8636, 109.4513, 114.6268, 119.8023, 124.9778, 130.1533, 135.3289, 140.5044, 145.6799, 150.8554, 156.0309
7, 4, 0.0500, 40.0157, -105.2793, 99.2611, 102.1029, 107.7866, 113.4703, 119.1539, 124.8376, 130.5213, 136.2050, 141.8886, 147.5723, 153.2560
7, 4, 0.0600, 40.0157, -105.2793, 92.8951, 95.9432, 102.0395, 108.1358, 114.2321, 120.3284, 126.4247, 132.5210, 138.6173, 144.7136, 150.8099
7, 4, 0.0700, 40.0157, -105.2793, 87.4192, 90.6402, 97.0821, 103.5240, 109.9659, 116.4078, 122.8497, 129.2916, 135.7335, 142.1754, 148.6172
7, 4, 0.0800, 40.0157, -105.2793, 82.6178, 85.9867, 92.7245, 99.4624, 106.2002, 112.9380, 119.6759, 126.4137, 133.1515, 139.8893, 146.6272
7, 4, 0.0900, 40.0157, -105.2793, 78.3465, 81.8442, 88.8397, 95.8352, 102.8307, 109.8262, 116.8216, 123.8171, 130.8126, 137.8081, 144.8036
7, 4, 0.1000, 40.0157, -105.2793, 74.5037, 78.1151, 85.3378, 92.5606, 99.7833, 107.0060, 114.2288, 121.4515, 128.6742, 135.8970, 143.1197
7, 4, 0.1500, 40.0157, -105.2793, 59.6473, 63.6769, 71.7363, 79.7956, 87.8549, 95.9143, 103.9736, 112.0329, 120.0922, 128.1516, 136.2109
7, 4, 0.2000, 40.0157, -105.2793, 49.2260, 53.5275, 62.1304, 70.7334, 79.3364, 87.9393, 96.5423, 105.1453, 113.7482, 122.3512, 130.9542
7, 4, 0.2500, 40.0157, -105.2793, 41.3579, 45.8508, 54.8366, 63.8224, 72.8082, 81.7940, 90.7798, 99.7656, 108.7514, 117.7373, 126.7231
7, 4, 0.3000, 40.0157, -105.2793, 35.1552, 39.7889, 49.0563, 58.3237, 67.5911, 76.8585, 86.1259, 95.3934, 104.6608, 113.9282, 123.1956
7, 4, 0.3500, 40.0157, -105.2793, 30.1248, 34.8647, 44.3444, 53.8241, 63.3038, 72.7835, 82.2632, 91.7429, 101.2226, 110.7023, 120.1820
7, 4, 0.4000, 40.0157, -105.2793, 25.9634, 30.7842, 40.4260, 50.0678, 59.7096, 69.3514, 78.9931, 88.6349, 98.2767, 107.9185, 117.5602
7, 4, 0.5000, 40.0157, -105.2793, 19.5066, 24.4369, 34.2974, 44.1580, 54.0185, 63.8791, 73.7396, 83.6002, 93.4607, 103.3213, 113.1818
7, 4, 0.6000, 40.0157, -105.2793, 14.7879, 19.7796, 29.7631, 39.7466, 49.7301, 59.7136, 69.6971, 79.6806, 89.6641, 99.6476, 109.6311
7, 4, 0.7000, 40.0157, -105.2793, 11.2607, 16.2819, 26.3242, 36.3665, 46.4088, 56.4511, 66.4934, 76.5357, 86.5781, 96.6204, 106.6627
7, 4, 0.8000, 40.0157, -105.2793, 8.5934, 13.6213, 23.6770, 33.7328, 43.7886, 53.8443, 63.9001, 73.9559, 84.0116, 94.0674, 104.1232
7, 4, 0.9000, 40.0157, -105.2793, 6.5696, 11.5875, 21.6234, 31.6593, 41.6951, 51.7310, 61.7669, 71.8028, 81.8386, 91.8745, 101.9104
7, 4, 1.0000, 40.0157, -105.2793, 5.0406, 10.0360, 20.0268, 30.0176, 40.0083, 49.9991, 59.9899, 69.9806, 79.9714, 89.9622, 99.9530
7, 4, 1.5000, 40.0157, -105.2793, 1.9140, 6.6857, 16.2292, 25.7726, 35.3160, 44.8595, 54.4029, 63.9464, 73.4898, 83.0333, 92.5767
7, 4, 2.0000, 40.0157, -105.2793, 2.5897, 7.0519, 15.9764, 24.9008, 33.8253, 42.7497, 51.6741, 60.5986, 69.5230, 78.4474, 87.3719
7, 4, 2.5000, 40.0157, -105.2793, 4.8037, 8.9303, 17.1836, 25.4368, 33.6900, 41.9433, 50.1965, 58.4497, 66.7030, 74.9562, 83.2094
7, 4, 3.0000, 40.0157, -105.2793, 7.6271, 11.4166, 18.9956, 26.5746, 34.1535, 41.7325, 49.3115, 56.8905, 64.4694, 72.0484, 79.6274
7, 4, 3.5000, 40.0157, -105.2793, 10.6173, 14.0799, 21.0051, 27.9303, 34.8555, 41.7807, 48.7059, 55.6311, 62.5563, 69.4814, 76.4066
7, 4, 4.0000, 40.0157, -105.2793, 13.5456, 16.6976, 23.0016, 29.3057, 35.6097, 41.9137, 48.2177, 54.5217, 60.8257, 67.1298, 73.4338
7, 4, 5.0000, 40.0157, -105.2793, 18.7827, 21.3735, 26.5553, 31.7370, 36.9187, 42.1005, 47.2822, 52.4640, 57.6457, 62.8274, 68.0092
7, 4, 6.0000, 40.0157, -105.2793, 22.9032, 25.0193, 29.2514, 33.4835, 37.7157, 41.9478, 46.1799, 50.4121, 54.6442, 58.8763, 63.1084
7, 4, 7.0000, 40.0157, -105.2793, 25.8250, 27.5523, 31.0068, 34.4614, 37.9159, 41.3705, 44.8250, 48.2795, 51.7341, 55.1886, 58.6432
7, 4, 8.0000, 40.0157, -105.2793, 27.5927, 29.0129, 31.8533, 34.6937, 37.5341, 40.3745, 43.2149, 46.0553, 48.8957, 51.7360, 54.5764
