month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
7, 20, 0.0100, 40.0157, -105.2793, 142.5434, 143.8673, 146.5153, 149.1632, 151.8111, 154.4590, 157.1070, 159.7549, 162.4028, 165.0507, 167.6986
7, 20, 0.0150, 40.0157, -105.2793, 132.3053, 133.9202, 137.1499, 140.3795, 143.6092, 146.8389, 150.0686, 153.2983, 156.5280, 159.7577, 162.9873
7, 20, 0.0200, 40.0157, -105.2793, 124.4334, 126.2756, 129.9600, 133.6445, 137.3289, 141.0134, 144.6978, 148.3823, 152.0668, 155.7512, 159.4357
7, 20, 0.0250, 40.0157, -105.2793, 117.9817, 120.0123, 124.0736, 128.1350, 132.1963, 136.2576, 140.3189, 144.3802, 148.4415, 152.5028, 156.5641
7, 20, 0.0300, 40.0157, -105.2793, 112.4911, 114.6834, 119.0680, 123.4525, 127.8371, 132.2217, 136.6063, 140.9908, 145.3754, 149.7600, 154.1446
7, 20, 0.0350, 40.0157, -105.2793, 107.7002, 110.0344, 114.7027, 119.3710, 124.0393, 128.7076, 133.3759, 138.0442, 142.7125, 147.3808, 152.0491
7, 20, 0.0400, 40.0157, -105.2793, 103.4447, 105.9054, 110.8269, 115.7483, 120.6697, 125.5911, 130.5126, 135.4340, 140.3554, 145.2769, 150.1983
7, 20, 0.0500, 40.0157, -105.2793, 96.1285, 98.8078, 104.1664, 109.5250, 114.8836, 120.2422, 125.6008, 130.9593, 136.3179, 141.6765, 147.0351
7, 20, 0.0600, 40.0157, -105.2793, 89.9780, 92.8417, 98.5692, 104.2967, 110.0242, 115.7516, 121.4791, 127.2066, 132.9341, 138.6616, 144.3890
7, 20, 0.0700, 40.0157, -105.2793, 84.6725, 87.6956, 93.7418, 99.7881, 105.8343, 111.8805, 117.9268, 123.9730, 130.0192, 136.0655, 142.1117
7, 20, 0.0800, 40.0157, -105.2793, 80.0107, 83.1739, 89.5003, 95.8267, 102.1531, 108.4795, 114.8059, 121.1323, 127.4587, 133.7851, 140.1115
7, 20, 0.0900, 40.0157, -105.2793, 75.8574, 79.1453, 85.7211, 92.2969, 98.8727, 105.4485, 112.0243, 118.6001, 125.1759, 131.7517, 138.3275
7, 20, 0.1000, 40.0157, -105.2793, 72.1167, 75.5168, 82.3168, 89.1168, 95.9169, 102.7169, 109.5169, 116.3170, 123.1170, 129.9170, 136.7171
7, 20, 0.1500, 40.0157, -105.2793, 57.6353, 61.4656, 69.1261, 76.7866, 84.4471, 92.1077, 99.7682, 107.4287, 115.0892, 122.7498, 130.4103
7, 20, 0.2000, 40.0157, -105.2793, 47.4816, 51.6064, 59.8561, 68.1057, 76.3554, 84.6050, 92.8547, 101.1044, 109.3540, 117.6037, 125.8534
7, 20, 0.2500, 40.0157, -105.2793, 39.8353, 44.1748, 52.8539, 61.5330, 70.2121, 78.8912, 87.5703, 96.2494, 104.9285, 113.6076, 122.2867
7, 20, 0.3000, 40.0157, -105.2793, 33.8297, 38.3312, 47.3342, 56.3372, 65.3402, 74.3432, 83.3462, 92.3492, 101.3522, 110.3552, 119.3582
7, 20, 0.3500, 40.0157, -105.2793, 28.9802, 33.6063, 42.8584, 52.1105, 61.3626, 70.6147, 79.8668, 89.1189, 98.3710, 107.6232, 116.8753
7, 20, 0.4000, 40.0157, -105.2793, 24.9874, 29.7102, 39.1558, 48.6014, 58.0470, 67.4926, 76.9382, 86.3838, 95.8294, 105.2750, 114.7206
7, 20, 0.5000, 40.0157, -105.2793, 18.8385, 23.6951, 33.4083, 43.1215, 52.8347, 62.5479, 72.2611, 81.9742, 91.6874, 101.4006, 111.1138
7, 20, 0.6000, 40.0157, -105.2793, 14.3939, 19.3290, 29.1992, 39.0694, 48.9395, 58.8097, 68.6799, 78.5501, 88.4202, 98.2904, 108.1606
7, 20, 0.7000, 40.0157, -105.2793, 11.1106, 16.0867, 26.0390, 35.9913, 45.9437, 55.8960, 65.8483, 75.8006, 85.7529, 95.7052, 105.6575
7, 20, 0.8000, 40.0157, -105.2793, 8.6589, 13.6496, 23.6310, 33.6124, 43.5938, 53.5752, 63.5566, 73.5380, 83.5194, 93.5008, 103.4822
7, 20, 0.9000, 40.0157, -105.2793, 6.8244, 11.8103, 21.7820, 31.7537, 41.7254, 51.6971, 61.6688, 71.6405, 81.6122, 91.5839, 101.5556
7, 20, 1.0000, 40.0157, -105.2793, 5.4601, 10.4266, 20.3596, 30.2927, 40.2257, 50.1587, 60.0917, 70.0248, 79.9578, 89.8908, 99.8238
7, 20, 1.5000, 40.0157, -105.2793, 2.8383, 7.5857, 17.0805, 26.5753, 36.0701, 45.5649, 55.0597, 64.5545, 74.0493, 83.5441, 93.0389
7, 20, 2.0000, 40.0157, -105.2793, 3.6035, 8.0471, 16.9344, 25.8216, 34.7088, 43.5961, 52.4833, 61.3705, 70.2578, 79.1450, 88.0323
7, 20, 2.5000, 40.0157, -105.2793, 5.6144, 9.7386, 17.9872, 26.2357, 34.4842, 42.7327, 50.9812, 59.2298, 67.4783, 75.7268, 83.9753
7, 20, 3.0000, 40.0157, -105.2793, 8.0304, 11.8452, 19.4749, 27.1045, 34.7341, 42.3637, 49.9934, 57.6230, 65.2526, 72.8823, 80.5119
7, 20, 3.5000, 40.0157, -105.2793, 10.4733, 13.9988, 21.0498, 28.1008, 35.1518, 42.2029, 49.2539, 56.3049, 63.3559, 70.4069, 77.4579
7, 20, 4.0000, 40.0157, -105.2793, 12.7619, 16.0222, 22.5427, 29.0632, 35.5836, 42.1041, 48.6246, 55.1451, 61.6656, 68.1861, 74.7066
7, 20, 5.0000, 40.0157, -105.2793, 16.5774, 19.3819, 24.9910, 30.6000, 36.2091, 41.8182, 47.4272, 53.0363, 58.6454, 64.2544, 69.8635
7, 20, 6.0000, 40.0157, -105.2793, 19.2382, 21.6814, 26.5677, 31.4540, 36.3402, 41.2265, 46.1128, 50.9991, 55.8854, 60.7717, 65.6579
7, 20, 7.0000, 40.0157, -105.2793, 20.7792, 22.9443, 27.2746, 31.6050, 35.9353, 40.2656, 44.5959, 48.9262, 53.2565, 57.5869, 61.9172
7, 20, 8.0000, 40.0157, -105.2793, 21.3149, 23.2739, 27.1918, 31.1098, 35.0277, 38.9456, 42.8636, 46.7815, 50.6995, 54.6174, 58.5354
