month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
10, 8, 0.0100, -40.0157, -105.2793, 149.1976, 150.5732, 153.3245, 156.0757, 158.8270, 161.5783, 164.3295, 167.0808, 169.8321, 172.5833, 175.3346
10, 8, 0.0150, -40.0157, -105.2793, 137.1928, 139.0039, 142.6261, 146.2482, 149.8704, 153.4925, 157.1147, 160.7368, 164.3590, 167.9811, 171.6033
10, 8, 0.0200, -40.0157, -105.2793, 128.2123, 130.3515, 134.6300, 138.9085, 143.1869, 147.4654, 151.7439, 156.0224, 160.3009, 164.5794, 168.8579
10, 8, 0.0250, -40.0157, -105.2793, 120.9987, 123.4022, 128.2091, 133.0161, 137.8231, 142.6300, 147.4370, 152.2439, 157.0509, 161.8579, 166.6648
10, 8, 0.0300, -40.0157, -105.2793, 114.9558, 117.5805, 122.8300, 128.0795, 133.3289, 138.5784, 143.8279, 149.0773, 154.3268, 159.5762, 164.8257
10, 8, 0.0350, -40.0157, -105.2793, 109.7504, 112.5652, 118.1950, 123.8247, 129.4544, 135.0842, 140.7139, 146.3436, 151.9734, 157.6031, 163.2328
10, 8, 0.0400, -40.0157, -105.2793, 105.1760, 108.1573, 114.1200, 120.0826, 126.0453, 132.0079, 137.9706, 143.9332, 149.8959, 155.8586, 161.8212
10, 8, 0.0500, -40.0157, -105.2793, 97.4126, 100.6743, 107.1978, 113.7213, 120.2448, 126.7683, 133.2918, 139.8153, 146.3388, 152.8623, 159.3858
10, 8, 0.0600, -40.0157, -105.2793, 90.9769, 94.4682, 101.4509, 108.4336, 115.4162, 122.3989, 129.3816, 136.3643, 143.3470, 150.3297, 157.3123
10, 8, 0.0700, -40.0157, -105.2793, 85.4858, 89.1703, 96.5391, 103.9079, 111.2768, 118.6456, 126.0144, 133.3833, 140.7521, 148.1209, 155.4898
10, 8, 0.0800, -40.0157, -105.2793, 80.7033, 84.5532, 92.2530, 99.9528, 107.6526, 115.3524, 123.0522, 130.7521, 138.4519, 146.1517, 153.8515
10, 8, 0.0900, -40.0157, -105.2793, 76.4727, 80.4665, 88.4540, 96.4416, 104.4292, 112.4168, 120.4043, 128.3919, 136.3795, 144.3671, 152.3546
10, 8, 0.1000, -40.0157, -105.2793, 72.6848, 76.8051, 85.0456, 93.2861, 101.5267, 109.7672, 118.0077, 126.2483, 134.4888, 142.7293, 150.9698
10, 8, 0.1500, -40.0157, -105.2793, 58.1851, 62.7624, 71.9172, 81.0719, 90.2266, 99.3813, 108.5361, 117.6908, 126.8455, 136.0002, 145.1550
10, 8, 0.2000, -40.0157, -105.2793, 48.1253, 52.9844, 62.7025, 72.4206, 82.1387, 91.8568, 101.5749, 111.2930, 121.0111, 130.7292, 140.4473
10, 8, 0.2500, -40.0157, -105.2793, 40.5703, 45.6129, 55.6981, 65.7833, 75.8686, 85.9538, 96.0390, 106.1242, 116.2094, 126.2946, 136.3798
10, 8, 0.3000, -40.0157, -105.2793, 34.6257, 39.7898, 50.1180, 60.4462, 70.7744, 81.1026, 91.4308, 101.7590, 112.0872, 122.4155, 132.7437
10, 8, 0.3500, -40.0157, -105.2793, 29.8023, 35.0457, 45.5323, 56.0190, 66.5057, 76.9924, 87.4791, 97.9658, 108.4524, 118.9391, 129.4258
10, 8, 0.4000, -40.0157, -105.2793, 25.8032, 31.0955, 41.6802, 52.2649, 62.8495, 73.4342, 84.0188, 94.6035, 105.1881, 115.7728, 126.3574
