month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
10, 16, 0.0100, 40.0157, -105.2793, 160.4326, 5.2535, 4.4028, 2.2194, 1.7673, 1.9910
10, 16, 0.0150, 40.0157, -105.2793, 153.9044, 6.3386, 5.9511, 3.3705, 1.9188, 2.1919
10, 16, 0.0200, 40.0157, -105.2793, 149.0021, 7.3342, 7.0399, 4.0674, 2.1342, 2.3575
10, 16, 0.0250, 40.0157, -105.2793, 145.0511, 8.1903, 7.8691, 4.5296, 2.3406, 2.4936
10, 16, 0.0300, 40.0157, -105.2793, 141.7313, 8.9270, 8.5326, 4.8550, 2.5262, 2.6072
10, 16, 0.0350, 40.0157, -105.2793, 138.8635, 9.5670, 9.0814, 5.0934, 2.6907, 2.7036
10, 16, 0.0400, 40.0157, -105.2793, 136.3366, 10.1286, 9.5461, 5.2731, 2.8365, 2.7867
10, 16, 0.0500, 40.0157, -105.2793, 132.0319, 11.0703, 10.2964, 5.5194, 3.0823, 2.9228
10, 16, 0.0600, 40.0157, -105.2793, 128.4459, 11.8306, 10.8804, 5.6723, 3.2807, 3.0301
10, 16, 0.0700, 40.0157, -105.2793, 125.3719, 12.4583, 11.3503, 5.7691, 3.4438, 3.1170
10, 16, 0.0800, 40.0157, -105.2793, 122.6823, 12.9854, 11.7375, 5.8301, 3.5799, 3.1889
10, 16, 0.0900, 40.0157, -105.2793, 120.2923, 13.4341, 12.0621, 5.8670, 3.6950, 3.2493
10, 16, 0.1000, 40.0157, -105.2793, 118.1428, 13.8201, 12.3380, 5.8872, 3.7932, 3.3006
10, 16, 0.1500, 40.0157, -105.2793, 109.8106, 15.1366, 13.2576, 5.8614, 4.1200, 3.4716
10, 16, 0.2000, 40.0157, -105.2793, 103.8974, 15.8708, 13.7562, 5.7554, 4.2920, 3.5634
10, 16, 0.2500, 40.0157, -105.2793, 99.3512, 16.3058, 14.0459, 5.6312, 4.3858, 3.6157
10, 16, 0.3000, 40.0157, -105.2793, 95.6851, 16.5666, 14.2160, 5.5068, 4.4348, 3.6455
10, 16, 0.3500, 40.0157, -105.2793, 92.6326, 16.7175, 14.3116, 5.3878, 4.4561, 3.6612
10, 16, 0.4000, 40.0157, -105.2793, 90.0316, 16.7954, 14.3582, 5.2762, 4.4596, 3.6677
10, 16, 0.5000, 40.0157, -105.2793, 85.7934, 16.8143, 14.3597, 5.0754, 4.4341, 3.6635
10, 16, 0.6000, 40.0157, -105.2793, 82.4489, 16.7259, 14.2897, 4.9018, 4.3847, 3.6461
10, 16, 0.7000, 40.0157, -105.2793, 79.7164, 16.5789, 14.1808, 4.7509, 4.3237, 3.6215
10, 16, 0.8000, 40.0157, -105.2793, 77.4266, 16.3990, 14.0500, 4.6190, 4.2573, 3.5932
10, 16, 0.9000, 40.0157, -105.2793, 75.4701, 16.2009, 13.9069, 4.5030, 4.1889, 3.5627
10, 16, 1.0000, 40.0157, -105.2793, 73.7723, 15.9931, 13.7572, 4.4002, 4.1203, 3.5312
10, 16, 1.5000, 40.0157, -105.2793, 67.7137, 14.9430, 12.9977, 4.0285, 3.8006, 3.3748
10, 16, 2.0000, 40.0157, -105.2793, 63.8584, 13.9857, 12.2944, 3.8056, 3.5340, 3.2326
10, 16, 2.5000, 40.0157, -105.2793, 61.0832, 13.1456, 11.6646, 3.6688, 3.3154, 3.1069
10, 16, 3.0000, 40.0157, -105.2793, 58.9197, 12.4100, 11.1010, 3.5871, 3.1352, 2.9956
10, 16, 3.5000, 40.0157, -105.2793, 57.1367, 11.7625, 10.5936, 3.5429, 2.9855, 2.8965
10, 16, 4.0000, 40.0157, -105.2793, 55.6072, 11.1887, 10.1335, 3.5257, 2.8603, 2.8075
10, 16, 5.0000, 40.0157, -105.2793, 53.0364, 10.2173, 9.3269, 3.5464, 2.6664, 2.6538
10, 16, 6.0000, 40.0157, -105.2793, 50.8782, 9.4267, 8.6379, 3.6151, 2.5283, 2.5252
10, 16, 7.0000, 40.0157, -105.2793, 48.9809, 8.7714, 8.0376, 3.7140, 2.4304, 2.4157
10, 16, 8.0000, 40.0157, -105.2793, 47.2597, 8.2204, 7.5066, 3.8327, 2.3626, 2.3210
10, 16, 9.0000, 40.0157, -105.2793, 45.6580, 7.7518, 7.0307, 3.9648, 2.3179, 2.2382
10, 16, 10.0000, 40.0157, -105.2793, 44.1329, 7.3498, 6.6000, 4.1061, 2.2914, 2.1652
10, 16, 15.0000, 40.0157, -105.2793, 36.6679, 6.0040, 4.9089, 4.1061, 2.3331, 1.8998
10, 16, 20.0000, 40.0157, -105.2793, 28.1414, 5.3067, 3.6909, 4.1061, 2.5336, 1.7355
10, 16, 25.0000, 40.0157, -105.2793, 17.8961, 5.3067, 3.6909, 4.1061, 2.5336, 1.7355
10, 16, 30.0000, 40.0157, -105.2793, 5.7959, 5.3067, 3.6909, 4.1061, 2.5336, 1.7355
