month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
10, 8, 0.0100, 40.0157, -105.2793, 158.1295, 2.9320, 1.4952, 3.0621, 2.1303, 2.5407
10, 8, 0.0150, 40.0157, -105.2793, 149.8968, 7.0544, 6.9194, 4.1849, 1.9642, 1.9817
10, 8, 0.0200, 40.0157, -105.2793, 143.7175, 9.4722, 9.6029, 4.8546, 2.0435, 1.9258
10, 8, 0.0250, 40.0157, -105.2793, 138.7352, 11.0789, 11.1226, 5.2996, 2.1931, 2.0312
10, 8, 0.0300, 40.0157, -105.2793, 134.5447, 12.2274, 12.0479, 5.6146, 2.3613, 2.1931
10, 8, 0.0350, 40.0157, -105.2793, 130.9200, 13.0887, 12.6336, 5.8469, 2.5296, 2.3723
10, 8, 0.0400, 40.0157, -105.2793, 127.7214, 13.7571, 13.0105, 6.0230, 2.6914, 2.5524
10, 8, 0.0500, 40.0157, -105.2793, 122.2589, 14.7205, 13.4022, 6.2661, 2.9870, 2.8916
10, 8, 0.0600, 40.0157, -105.2793, 117.6921, 15.3723, 13.5310, 6.4179, 3.2451, 3.1920
10, 8, 0.0700, 40.0157, -105.2793, 113.7628, 15.8337, 13.5263, 6.5143, 3.4702, 3.4541
10, 8, 0.0800, 40.0157, -105.2793, 110.3119, 16.1702, 13.4500, 6.5748, 3.6676, 3.6823
10, 8, 0.0900, 40.0157, -105.2793, 107.2339, 16.4205, 13.3345, 6.6109, 3.8417, 3.8817
10, 8, 0.1000, 40.0157, -105.2793, 104.4555, 16.6088, 13.1981, 6.6299, 3.9963, 4.0566
10, 8, 0.1500, 40.0157, -105.2793, 93.5767, 17.0423, 12.4520, 6.5931, 4.5652, 4.6734
10, 8, 0.2000, 40.0157, -105.2793, 85.7302, 17.0962, 11.7882, 6.4713, 4.9260, 5.0298
10, 8, 0.2500, 40.0157, -105.2793, 79.6130, 17.0098, 11.2413, 6.3299, 5.1712, 5.2455
10, 8, 0.3000, 40.0157, -105.2793, 74.6212, 16.8642, 10.7921, 6.1882, 5.3451, 5.3773
10, 8, 0.3500, 40.0157, -105.2793, 70.4229, 16.6929, 10.4197, 6.0528, 5.4717, 5.4554
10, 8, 0.4000, 40.0157, -105.2793, 66.8157, 16.5115, 10.1073, 5.9257, 5.5651, 5.4976
10, 8, 0.5000, 40.0157, -105.2793, 60.8831, 16.1461, 9.6154, 5.6976, 5.6858, 5.5140
10, 8, 0.6000, 40.0157, -105.2793, 56.1633, 15.7955, 9.2488, 5.5009, 5.7501, 5.4771
10, 8, 0.7000, 40.0157, -105.2793, 52.2950, 15.4665, 8.9674, 5.3311, 5.7798, 5.4112
10, 8, 0.8000, 40.0157, -105.2793, 49.0580, 15.1601, 8.7466, 5.1836, 5.7869, 5.3292
10, 8, 0.9000, 40.0157, -105.2793, 46.3077, 14.8748, 8.5702, 5.0548, 5.7787, 5.2384
10, 8, 1.0000, 40.0157, -105.2793, 43.9442, 14.6089, 8.4272, 4.9418, 5.7601, 5.1431
10, 8, 1.5000, 40.0157, -105.2793, 35.9273, 13.5078, 8.0041, 4.5453, 5.5897, 4.6666
10, 8, 2.0000, 40.0157, -105.2793, 31.5823, 12.6721, 7.8140, 4.3259, 5.3785, 4.2439
10, 8, 2.5000, 40.0157, -105.2793, 29.1829, 12.0055, 7.7147, 4.2083, 5.1675, 3.8852
10, 8, 3.0000, 40.0157, -105.2793, 27.9382, 11.4550, 7.6540, 4.1555, 4.9678, 3.5827
10, 8, 3.5000, 40.0157, -105.2793, 27.4200, 10.9888, 7.6094, 4.1465, 4.7818, 3.3269
10, 8, 4.0000, 40.0157, -105.2793, 27.3712, 10.5864, 7.5702, 4.1686, 4.6095, 3.1100
10, 8, 5.0000, 40.0157, -105.2793, 28.0748, 9.9213, 7.4895, 4.2755, 4.3024, 2.7685
10, 8, 6.0000, 40.0157, -105.2793, 29.2604, 9.3889, 7.3937, 4.4361, 4.0377, 2.5208
10, 8, 7.0000, 40.0157, -105.2793, 30.5308, 8.9495, 7.2792, 4.6294, 3.8076, 2.3429
10, 8, 8.0000, 40.0157, -105.2793, 31.6708, 8.5786, 7.1467, 4.8435, 3.6059, 2.2182
10, 8, 9.0000, 40.0157, -105.2793, 32.5608, 8.2602, 6.9978, 5.0709, 3.4278, 2.1354
10, 8, 10.0000, 40.0157, -105.2793, 33.1352, 7.9830, 6.8347, 5.3069, 3.2696, 2.0861
10, 8, 15.0000, 40.0157, -105.2793, 30.6961, 6.9961, 5.8661, 5.3069, 2.6896, 2.1676
10, 8, 20.0000, 40.0157, -105.2793, 20.4087, 6.3865, 4.7473, 5.3069, 2.3331, 2.5564
10, 8, 25.0000, 40.0157, -105.2793, 4.9541, 6.3865, 4.7473, 5.3069, 2.3331, 2.5564
10, 8, 30.0000, 40.0157, -105.2793, -12.8244, 6.3865, 4.7473, 5.3069, 2.3331, 2.5564
