month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
7, 2, 0.01, 40.0157, -105.2793, 161.5134, 5.3193, 3.8295, 3.0304, 1.5338, 1.5338
7, 2, 0.01, 40.0157, -105.2793, 156.1610, 4.7783, 4.1511, 3.1025, 1.3164, 1.3164
7, 2, 0.02, 40.0157, -105.2793, 152.0376, 4.8048, 4.5664, 3.2784, 1.3041, 1.3041
7, 2, 0.03, 40.0157, -105.2793, 148.6514, 5.0051, 4.9653, 3.4657, 1.3564, 1.3564
7, 2, 0.03, 40.0157, -105.2793, 145.7638, 5.2605, 5.3274, 3.6426, 1.4306, 1.4306
7, 2, 0.35, 40.0157, -105.2793, 99.5887, 9.9772, 9.6289, 5.7259, 2.8702, 2.8702
7, 2, 0.04, 40.0157, -105.2793, 140.9917, 5.7894, 5.9420, 3.9502, 1.5907, 1.5907
7, 2, 0.05, 40.0157, -105.2793, 137.1158, 6.2732, 6.4370, 4.2008, 1.7397, 1.7397
7, 2, 0.06, 40.0157, -105.2793, 133.8434, 6.6968, 6.8427, 4.4066, 1.8710, 1.8710
7, 2, 0.07, 40.0157, -105.2793, 131.0082, 7.0648, 7.1810, 4.5778, 1.9853, 1.9853
7, 2, 0.08, 40.0157, -105.2793, 128.5058, 7.3849, 7.4672, 4.7220, 2.0847, 2.0847
7, 2, 0.09, 40.0157, -105.2793, 126.2662, 7.6648, 7.7124, 4.8448, 2.1715, 2.1715
7, 2, 0.10, 40.0157, -105.2793, 124.2398, 7.9109, 7.9248, 4.9503, 2.2477, 2.2477
7, 2, 0.15, 40.0157, -105.2793, 116.2879, 8.7875, 8.6616, 5.3085, 2.5171, 2.5171
7, 2, 0.02, 40.0157, -105.2793, 152.0376, 4.8048, 4.5664, 3.2784, 1.3041, 1.3041
7, 2, 0.25, 40.0157, -105.2793, 106.1453, 9.6333, 9.3517, 5.6204, 2.7714, 2.7714
7, 2, 0.30, 40.0157, -105.2793, 102.5681, 9.8429, 9.5207, 5.6879, 2.8324, 2.8324
7, 2, 0.35, 40.0157, -105.2793, 99.5887, 9.9772, 9.6289, 5.7259, 2.8702, 2.8702
7, 2, 0.40, 40.0157, -105.2793, 97.0528, 10.0604, 9.6959, 5.7445, 2.8926, 2.8926
7, 2, 0.50, 40.0157, -105.2793, 92.9350, 10.1286, 9.7515, 5.7461, 2.9080, 2.9080
7, 2, 0.60, 40.0157, -105.2793, 89.7063, 10.1176, 9.7436, 5.7203, 2.9004, 2.9004
7, 2, 0.70, 40.0157, -105.2793, 87.0879, 10.0614, 9.6992, 5.6803, 2.8800, 2.8800
7, 2, 0.80, 40.0157, -105.2793, 84.9106, 9.9786, 9.6331, 5.6326, 2.8524, 2.8524
7, 2, 0.90, 40.0157, -105.2793, 83.0640, 9.8799, 9.5537, 5.5812, 2.8208, 2.8208
7, 2, 1.00, 40.0157, -105.2793, 81.4727, 9.7716, 9.4661, 5.5281, 2.7870, 2.7870
7, 2, 1.50, 40.0157, -105.2793, 75.8733, 9.1930, 8.9892, 5.2696, 2.6150, 2.6150
7, 2, 2.00, 40.0157, -105.2793, 72.3285, 8.6474, 8.5264, 5.0464, 2.4620, 2.4620
7, 2, 2.50, 40.0157, -105.2793, 69.7116, 8.1649, 8.1050, 4.8603, 2.3335, 2.3335
7, 2, 3.00, 40.0157, -105.2793, 67.5657, 7.7431, 7.7257, 4.7056, 2.2267, 2.2267
7, 2, 3.50, 40.0157, -105.2793, 65.6743, 7.3742, 7.3841, 4.5764, 2.1382, 2.1382
7, 2, 4.00, 40.0157, -105.2793, 63.9245, 7.0505, 7.0751, 4.4681, 2.0648, 2.0648
7, 2, 5.00, 40.0157, -105.2793, 60.6288, 6.5130, 6.5380, 4.3008, 1.9540, 1.9540
7, 2, 6.00, 40.0157, -105.2793, 57.4377, 6.0899, 6.0863, 4.1829, 1.8796, 1.8796
7, 2, 7.00, 40.0157, -105.2793, 54.2733, 5.7536, 5.7006, 4.1013, 1.8321, 1.8321
7, 2, 8.00, 40.0157, -105.2793, 51.1150, 5.4849, 5.3673, 4.0471, 1.8052, 1.8052
7, 2, 9.00, 40.0157, -105.2793, 47.9635, 5.2702, 5.0762, 4.0144, 1.7943, 1.7943
7, 2, 10.00, 40.0157, -105.2793, 44.8270, 5.0992, 4.8201, 3.9988, 1.7962, 1.7962
7, 2, 15.00, 40.0157, -105.2793, 29.6784, 4.6860, 3.9015, 3.9988, 1.9285, 1.9285
7, 2, 20.00, 40.0157, -105.2793, 15.8387, 4.7048, 3.3542, 3.9988, 2.1733, 2.1733
7, 2, 25.00, 40.0157, -105.2793, 3.2735, 4.7048, 3.3542, 3.9988, 2.1733, 2.1733
7, 2, 30.00, 40.0157, -105.2793, -8.4674, 4.7048, 3.3542, 3.9988, 2.1733, 2.1733
